FEDERACIONES;POBLACION_TOTAL;AREA
Aguascalientes;1425607;5616
Baja California;3769020;71 450
Baja California Sur;798447;73 909
Campeche;928363;57 507
Coahuila de Zaragoza;3146771;151 562
Colima;731391;5627
Chiapas;5543828;73 311
Chihuahua;3741869;247 455
Ciudad de México;9209944;1495
Durango;1832650;123 317
Guanajuato;6166934;30 608
Guerrero;3540685;63 596
Hidalgo;3082841;20 813
Jalisco;8348151;80 295
México;16992418;22 351
Michoacán de Ocampo;4748846;58 599
Morelos;1971520;4879
Nayarit;1235456;27 857
Nuevo León;5784442;64 156
Oaxaca;4132148;93 757
Puebla;6583278;34 306
Querétaro;2368467;11 699
Quintana Roo;1857985;44 705
San Luis Potosí;2822255;61 137
Sinaloa;3026943;58 200
Sonora;2944840;179 355
Tabasco;2402598;24 731
Tamaulipas;3527735;79 890
Tlaxcala;1342977;4016
Veracruz de Ignacio de la Llave;8062579;71 826
Yucatán;2320898;39 524
Zacatecas;1622138;75 284